id,country_id:id,name,code
ethnicity_vn_VN-K-01,base.vn,Kinh,01
ethnicity_vn_VN-T-02,base.vn,Tày,02
ethnicity_vn_VN-T-03,base.vn,Thái,03
ethnicity_vn_VN-H-04,base.vn,Hoa,04
ethnicity_vn_VN-K-05,base.vn,Khơ-me,05
ethnicity_vn_VN-M-06,base.vn,Mường,06
ethnicity_vn_VN-N-07,base.vn,Nùng,07
ethnicity_vn_VN-H-08,base.vn,Hmông,08
ethnicity_vn_VN-D-09,base.vn,Dao,09
ethnicity_vn_VN-G-10,base.vn,Gia-rai,10
ethnicity_vn_VN-N-11,base.vn,Ngái,11
ethnicity_vn_VN-E-12,base.vn,Ê-đê,12
ethnicity_vn_VN-B-13,base.vn,Ba-na,13
ethnicity_vn_VN-X-14,base.vn,Xơ-đăng,14
ethnicity_vn_VN-SC-15,base.vn,Sán Chay,15
ethnicity_vn_VN-C-16,base.vn,Cơ-ho,16
ethnicity_vn_VN-C-17,base.vn,Chăm,17
ethnicity_vn_VN-SD-18,base.vn,Sán Dìu,18
ethnicity_vn_VN-H-19,base.vn,Hrê,19
ethnicity_vn_VN-M-20,base.vn,Mnông,20
ethnicity_vn_VN-R-21,base.vn,Ra-glai,21
ethnicity_vn_VN-X-22,base.vn,Xtiêng,22
ethnicity_vn_VN-BK-23,base.vn,Bru-Vân Kiều,23
ethnicity_vn_VN-T-24,base.vn,Thổ,24
ethnicity_vn_VN-G-25,base.vn,Giáy,25
ethnicity_vn_VN-C-26,base.vn,Cơ-tu,26
ethnicity_vn_VN-G-27,base.vn,Gié-Triêng,27
ethnicity_vn_VN-M-28,base.vn,Mạ,28
ethnicity_vn_VN-K-29,base.vn,Khơ-mú,29
ethnicity_vn_VN-C-30,base.vn,Co,30
ethnicity_vn_VN-T-31,base.vn,Ta-ôi,31
ethnicity_vn_VN-C-32,base.vn,Chơ-ro,32
ethnicity_vn_VN-K-33,base.vn,Kháng,33
ethnicity_vn_VN-X-34,base.vn,Xinh-mun,34
ethnicity_vn_VN-HN-35,base.vn,Hà Nhì,35
ethnicity_vn_VN-C-36,base.vn,Chu-ru,36
ethnicity_vn_VN-L-37,base.vn,Lào,37
ethnicity_vn_VN-LC-38,base.vn,La Chi,38
ethnicity_vn_VN-LH-39,base.vn,La Ha,39
ethnicity_vn_VN-PL-40,base.vn,Phù Lá,40
ethnicity_vn_VN-LH-41,base.vn,La Hủ,41
ethnicity_vn_VN-L-42,base.vn,Lự,42
ethnicity_vn_VN-LL-43,base.vn,Lô Lô,43
ethnicity_vn_VN-C-44,base.vn,Chứt,44
ethnicity_vn_VN-M-45,base.vn,Mảng,45
ethnicity_vn_VN-PT-46,base.vn,Pà Thẻn,46
ethnicity_vn_VN-CL-47,base.vn,Cơ Lao,47
ethnicity_vn_VN-C-48,base.vn,Cống,48
ethnicity_vn_VN-BY-49,base.vn,Bố Y,49
ethnicity_vn_VN-SL-50,base.vn,Si La,50
ethnicity_vn_VN-PP-51,base.vn,Pu Péo,51
ethnicity_vn_VN-B-52,base.vn,Brâu,52
ethnicity_vn_VN-OD-53,base.vn,Ơ Đu,53
ethnicity_vn_VN-R-54,base.vn,Rơ-măm,54
ethnicity_vn_VN-NNN-55,base.vn,Người nước ngoài,55
ethnicity_vn_VN-KR-56,base.vn,Không rõ,56
